股票代號,公司名稱,最新一季每股淨值(元),產業類別
4923,力士,19.85,半導體業
4931,新盛力,16.53,電腦及週邊設備業
4933,友輝,42.55,光電業
4939,亞電,15.81,電子零組件業
4945,陞達科技,21.87,半導體業
4946,辣椒,5.39,文化創意業
4950,牧東,0.00,其他
4951,精拓科,24.22,半導體業
4953,緯軟,49.34,資訊服務業
4972,湯石照明,27.85,光電業
4973,廣穎電通,34.74,半導體業
4974,亞泰,42.77,電子零組件業
4979,華星光,21.64,通信網路業
4987,科誠,34.16,電腦及週邊設備業
4995,晶達,21.64,光電業
5009,榮剛,29.74,鋼鐵工業
5011,久陽,22.73,鋼鐵工業
5013,強新,27.27,鋼鐵工業
5014,建錩,17.18,鋼鐵工業
5015,華祺,20.62,鋼鐵工業
5016,松和,29.02,鋼鐵工業
5201,凱衛,13.37,資訊服務業
5202,力新,14.65,資訊服務業
5205,中茂,5.15,綠能環保
5206,坤悅,18.76,建材營造
5209,新鼎,29.14,其他
5210,寶碩,5.49,資訊服務業
5211,蒙恬,12.27,資訊服務業
5212,凌網,13.74,資訊服務業
5213,亞昕,18.14,建材營造
5220,萬達光電,19.88,光電業
5228,鈺鎧,14.18,電子零組件業
5230,雷笛克光學,24.56,光電業
5236,凌陽創新,40.03,半導體業
5245,智晶,21.61,光電業
5251,天鉞電,12.02,光電業
5263,智崴,51.87,文化創意業
5272,笙科,19.52,半導體業
5274,信驊,105.53,半導體業
5278,尚凡,24.68,數位雲端
5287,數字,35.97,數位雲端
5289,宜鼎,76.96,電腦及週邊設備業
5291,邑昇,23.46,電子零組件業
5299,杰力,61.55,半導體業
5301,寶得利,4.76,觀光餐旅
5302,太欣,8.09,半導體業
5309,系統電,16.02,電子零組件業
5310,天剛,7.09,資訊服務業
5312,寶島科,52.76,生技醫療業
5314,世紀,20.84,半導體業
5315,光聯,14.91,光電業
5321,美而快,14.58,數位雲端
5324,士開,5.66,建材營造
5328,華容,11.14,電子零組件業
5340,建榮,10.34,電子零組件業
5344,立衛,6.56,半導體業
5345,天揚,7.04,其他
5347,世界,25.71,半導體業
5348,正能量智能,4.89,通信網路業
5351,鈺創,10.84,半導體業
5353,台林,17.30,通信網路業
5355,佳總,6.21,電子零組件業
5356,協益,44.47,電腦及週邊設備業
5364,力麗店,11.18,觀光餐旅
5371,中光電,62.19,光電業
5381,合正,6.32,電子零組件業
5386,青雲,19.06,電腦及週邊設備業
5392,能率,34.56,光電業
5398,慕康生醫,11.04,其他
5403,中菲,29.73,資訊服務業
5410,國眾,14.89,資訊服務業
5425,台半,30.48,半導體業
5426,振發,14.79,電腦及週邊設備業
5432,新門,18.38,綠能環保
5438,東友,22.78,電腦及週邊設備業
5439,高技,24.90,電子零組件業
5443,均豪,34.13,光電業
5450,南良,14.33,其他
5452,佶優,14.03,其他電子業
5455,昇益,14.41,建材營造
5457,宣德,25.43,電子零組件業
5460,同協,12.36,電子零組件業
5464,霖宏,20.08,電子零組件業
5465,富驊,15.70,電腦及週邊設備業
5468,凱鈺,7.93,半導體業
5474,聰泰,44.99,電腦及週邊設備業
5475,德宏,6.55,電子零組件業
5478,智冠,62.68,文化創意業
5481,新華,18.54,其他
5483,中美晶,71.85,半導體業
5487,通泰,22.00,半導體業
5488,松普,10.31,電子零組件業
5489,彩富,21.80,其他電子業
5490,同亨,12.98,電腦及週邊設備業
5493,三聯,44.77,其他電子業
5498,凱崴,11.20,電子零組件業
5508,永信建,31.21,建材營造
5511,德昌,48.99,建材營造
5512,力麒,18.48,建材營造
5514,三豐,14.38,建材營造
5516,雙喜,10.31,建材營造
5520,力泰,40.37,建材營造
5523,豐謙,19.45,建材營造
5529,鉅陞,11.56,建材營造
5530,龍巖,59.88,其他
5536,聖暉*,78.95,其他電子業
5548,安倉,16.38,建材營造
5601,台聯櫃,21.17,航運業
5603,陸海,17.63,航運業
5604,中連,18.70,其他
5609,中菲行,42.48,航運業
5701,劍湖山,4.37,觀光餐旅
5703,亞都麗緻,6.80,觀光餐旅
5704,老爺知,14.57,觀光餐旅
5864,致和證,20.51,金融業
5878,台名,21.16,金融業
5902,德記,12.16,居家生活
5903,全家,31.00,居家生活
5904,寶雅,53.68,居家生活
5905,南仁湖,10.54,觀光餐旅
6015,宏遠證,13.97,金融業
6016,康和證,16.14,金融業
6020,大展證,0.00,金融業
6021,美好證,0.00,金融業
6023,元大期貨,49.54,金融業
6026,福邦證,14.19,金融業
6101,寬魚國際,10.26,文化創意業
6103,合邦,9.56,半導體業
6104,創惟,19.26,半導體業
6109,亞元,10.66,通信網路業
6111,大宇資,17.05,文化創意業
6113,亞矽,11.63,電子通路業
6114,久威,30.82,電子零組件業
6118,建達,11.57,電子通路業
6121,新普,188.42,電腦及週邊設備業
6122,擎邦,21.79,電機機械
6123,上奇,23.74,資訊服務業
6124,業強,18.90,電子零組件業
6125,廣運,14.72,光電業
6126,信音,27.40,電子零組件業
6127,九豪,10.58,電子零組件業
6129,普誠,10.82,半導體業
6130,上亞科技,14.93,生技醫療業
6134,萬旭,10.86,電子零組件業
6138,茂達,42.90,半導體業
6140,訊達電腦,12.57,資訊服務業
6143,振曜,32.86,通信網路業
6144,得利影,8.57,文化創意業
6146,耕興,49.50,其他電子業
6147,頎邦,65.70,半導體業
6148,驊宏資,12.07,資訊服務業
6150,撼訊,32.34,電腦及週邊設備業
6151,晉倫,17.77,其他電子業
6154,順發,15.47,電子通路業
6156,松上,20.64,電子零組件業
6158,禾昌,21.50,電子零組件業
6160,欣技,10.75,電腦及週邊設備業
6161,捷波,19.13,電腦及週邊設備業
6163,華電網,16.63,通信網路業
6167,久正,11.09,光電業
6169,昱泉,12.98,文化創意業
6170,統振,18.01,通信網路業
6171,大城地產,18.24,建材營造
6173,信昌電,41.35,電子零組件業
6174,安碁,13.70,電子零組件業
6175,立敦,22.91,電子零組件業
6179,亞通,19.62,其他
6180,橘子,38.51,文化創意業
6182,合晶,25.95,半導體業
6185,幃翔,14.92,電子零組件業
6186,新潤,21.58,建材營造
6187,萬潤,43.07,其他電子業
6188,廣明,32.25,電腦及週邊設備業
6190,萬泰科,17.52,通信網路業
6194,育富,39.30,電子零組件業
6195,詩肯,25.25,居家生活
6198,瑞築,25.00,建材營造
6199,天品,12.41,其他
6203,海韻電,35.06,電子零組件業
6204,艾華,13.92,電子零組件業
6207,雷科,24.40,電子零組件業
6208,日揚,26.36,電子零組件業
6210,慶生,15.20,電子零組件業
6212,理銘,32.12,建材營造
6217,中探針,27.66,電子零組件業
6218,豪勉,14.84,通信網路業
6219,富旺,14.28,建材營造
6220,岳豐,20.94,電子零組件業
6221,晉泰,29.07,資訊服務業
6222,上揚,7.03,光電業
6223,旺矽,86.93,半導體業
6227,茂綸,31.85,電子通路業
6228,全譜,11.03,電腦及週邊設備業
6229,研通,18.57,半導體業
6231,系微,25.97,資訊服務業
6233,旺玖,16.27,半導體業
6234,高僑,27.84,光電業
6236,中湛,3.77,其他
6237,驊訊,20.29,半導體業
6240,松崗,19.55,其他
6241,易通展,8.73,通信網路業
6242,立康,25.50,生技醫療業
6244,茂迪,11.29,光電業
6245,立端,37.95,通信網路業
6246,臺龍,10.82,光電業
6248,沛波,21.53,鋼鐵工業
6259,百徽,15.24,電子零組件業
6261,久元,50.54,半導體業
6263,普萊德,23.32,通信網路業
6264,富裔,5.15,建材營造
6265,方方土昶,11.59,電子通路業
6266,泰詠,15.92,電子零組件業
6270,倍微,42.07,電子通路業
6274,台燿,45.01,電子零組件業
6275,元山,19.43,電子零組件業
6276,安鈦克,10.66,電腦及週邊設備業
6279,胡連,63.52,電子零組件業
6284,佳邦,48.30,電子零組件業
6287,元隆,0.39,半導體業
6290,良維,37.94,電子零組件業
6291,沛亨,30.22,半導體業
6292,迅德,26.19,電子零組件業
6294,智基,24.10,文化創意業
6411,晶焱,46.89,半導體業
6417,韋僑,35.62,通信網路業
6418,詠昇,14.41,電子零組件業
6419,京晨科,26.73,光電業
6425,易發,19.77,電機機械
6432,今展科,25.86,電子零組件業
6435,大中,45.35,半導體業
6441,廣錠,25.92,電腦及週邊設備業
6457,紘康,22.43,半導體業
6461,益得,7.31,生技醫療業
6462,神盾,48.05,半導體業
6465,威潤,9.04,通信網路業
6469,大樹,28.63,生技醫療業
6470,宇智,28.08,通信網路業
6482,弘煜科,15.18,文化創意業
6485,點序,40.67,半導體業
6486,互動,35.74,通信網路業
6488,環球晶,189.88,半導體業
6492,生華科,13.31,生技醫療業
6494,九齊,34.38,半導體業
6496,科懋,22.24,生技醫療業
6499,益安,20.90,生技醫療業
6506,雙邦,15.14,紡織纖維
6508,惠光,28.05,農業科技
6509,聚和,22.48,化學工業
6510,精測,231.98,半導體業
6512,啟發電,15.50,其他電子業
6516,勤崴國際,20.01,資訊服務業
6517,保勝光學,20.01,光電業
6523,達爾膚,34.03,生技醫療業
6527,明達醫,34.53,生技醫療業
6530,創威,13.10,通信網路業
6532,瑞耘,26.73,半導體業
6535,順藥,8.29,生技醫療業
6538,倉和,51.93,電子零組件業
6542,隆中,19.37,文化創意業
6546,正基,28.11,通信網路業
6547,高端疫苗,11.70,生技醫療業
6548,長科*,11.67,半導體業
6556,勝品,50.07,光電業
6560,欣普羅,17.09,光電業
6561,是方,42.28,通信網路業
6568,宏觀,46.30,半導體業
6569,醫揚,43.18,生技醫療業
6570,維田,21.60,電腦及週邊設備業
6574,霈方,27.13,生技醫療業
6576,逸達,7.36,生技醫療業
6577,勁豐,35.46,電腦及週邊設備業
6578,達邦蛋白,15.49,農業科技
6584,南俊國際,29.71,電子零組件業
6588,東典,24.53,通信網路業
6589,台康生技,31.67,生技醫療業
6590,普鴻,27.28,資訊服務業
6593,台灣銘板,27.65,資訊服務業
6596,寬宏藝術,23.07,文化創意業
6603,富強鑫,14.44,電機機械
6609,瀧澤科,33.10,電機機械
6612,奈米醫材,42.42,生技醫療業
6613,朋億*,52.59,其他電子業
6615,慧智,29.85,生技醫療業
6624,萬年清,19.07,綠能環保
6637,醫影,33.23,生技醫療業
6640,均華,57.37,半導體業
6642,富致,27.24,電子零組件業
6643,M31,55.76,半導體業
6649,台生材,14.90,生技醫療業
6651,全宇昕,33.24,半導體業
6654,天正國際,25.07,其他電子業
6661,威健生技,12.23,生技醫療業
6662,樂斯科,17.71,生技醫療業
6664,群翊,53.10,電子零組件業
6667,信紘科,31.74,其他電子業
6679,鈺太,95.23,半導體業
6680,鑫創電子,22.72,電腦及週邊設備業
6683,雍智科技,83.21,半導體業
6684,安格,38.40,半導體業
6690,安碁資訊,57.89,數位雲端
6692,進能服,18.64,綠能環保
6693,廣閎科,25.03,半導體業
6697,東捷資訊,20.61,資訊服務業
6703,軒郁,42.00,生技醫療業
6708,天擎,13.98,半導體業
6712,長聖,19.10,生技醫療業
6716,應廣,25.11,半導體業
6721,信實,25.32,其他
6727,亞泰金屬,46.46,電子零組件業
6728,上洋,42.70,居家生活
6732,昇佳電子,86.40,半導體業
6733,博晟生醫,7.29,生技醫療業
6735,美達科技,23.70,其他電子業
6747,亨泰光,54.31,生技醫療業
6751,智聯服務,39.13,資訊服務業
6752,叡揚,32.94,資訊服務業
6761,穩得,41.73,電子零組件業
6762,達亞,48.26,生技醫療業
6763,綠界科技,0.00,數位雲端
6767,台微醫,11.93,生技醫療業
6785,昱展新藥,37.16,生技醫療業
6788,華景電,46.09,半導體業
6791,虎門科技,20.91,資訊服務業
6803,崑鼎,83.73,綠能環保
6804,明係,37.29,運動休閒
6811,宏碁資訊,46.05,數位雲端
6821,聯寶,20.00,電子零組件業
6823,濾能,24.04,半導體業
6829,千附精密,31.03,電機機械
6840,東研信超,34.10,其他電子業
6841,長佳智能,18.99,生技醫療業
6843,進典,23.47,電機機械
6844,諾貝兒,86.57,生技醫療業
6846,綠茵,28.69,食品工業
6855,數泓科,36.46,其他電子業
6856,鑫傳,26.10,文化創意業
6859,伯特光,45.38,光電業
6865,偉康科技,24.70,數位雲端
6870,騰雲,41.70,數位雲端
6874,倍力,20.88,資訊服務業
6875,國邑*,15.44,生技醫療業
6877,鏵友益,17.42,其他電子業
6881,潤德,49.51,其他
6894,衛司特,57.81,綠能環保
